Unnamed: 0,img_filename,y,a
0,./celeba/img_align_celeba/000021.jpg,1,0
1,./celeba/img_align_celeba/000094.jpg,0,0
2,./celeba/img_align_celeba/000127.jpg,1,0
3,./celeba/img_align_celeba/000202.jpg,1,0
4,./celeba/img_align_celeba/000213.jpg,1,0
5,./celeba/img_align_celeba/000221.jpg,1,0
6,./celeba/img_align_celeba/000224.jpg,1,0
7,./celeba/img_align_celeba/000234.jpg,1,0
8,./celeba/img_align_celeba/000252.jpg,0,0
9,./celeba/img_align_celeba/000264.jpg,1,0
10,./celeba/img_align_celeba/000295.jpg,1,0
11,./celeba/img_align_celeba/000310.jpg,1,0
12,./celeba/img_align_celeba/000313.jpg,1,0
13,./celeba/img_align_celeba/000316.jpg,1,0
14,./celeba/img_align_celeba/000330.jpg,1,0
15,./celeba/img_align_celeba/000383.jpg,1,0
16,./celeba/img_align_celeba/000440.jpg,1,0
17,./celeba/img_align_celeba/000444.jpg,1,0
18,./celeba/img_align_celeba/000449.jpg,1,0
19,./celeba/img_align_celeba/000498.jpg,1,0
20,./celeba/img_align_celeba/000500.jpg,1,0
21,./celeba/img_align_celeba/000518.jpg,1,0
22,./celeba/img_align_celeba/000520.jpg,1,0
23,./celeba/img_align_celeba/000562.jpg,0,0
24,./celeba/img_align_celeba/000575.jpg,1,0
25,./celeba/img_align_celeba/000578.jpg,1,0
26,./celeba/img_align_celeba/000596.jpg,1,0
27,./celeba/img_align_celeba/000608.jpg,1,0
28,./celeba/img_align_celeba/000639.jpg,1,0
29,./celeba/img_align_celeba/000677.jpg,1,0
30,./celeba/img_align_celeba/000687.jpg,1,0
31,./celeba/img_align_celeba/000719.jpg,0,0
32,./celeba/img_align_celeba/000720.jpg,1,0
33,./celeba/img_align_celeba/000779.jpg,1,0
34,./celeba/img_align_celeba/000798.jpg,1,0
35,./celeba/img_align_celeba/000817.jpg,0,0
36,./celeba/img_align_celeba/000818.jpg,1,0
37,./celeba/img_align_celeba/000851.jpg,1,0
38,./celeba/img_align_celeba/000853.jpg,1,0
39,./celeba/img_align_celeba/000867.jpg,0,0
40,./celeba/img_align_celeba/000891.jpg,0,0
41,./celeba/img_align_celeba/000899.jpg,0,0
42,./celeba/img_align_celeba/000903.jpg,1,0
43,./celeba/img_align_celeba/000911.jpg,1,0
44,./celeba/img_align_celeba/000915.jpg,1,0
45,./celeba/img_align_celeba/000958.jpg,1,0
46,./celeba/img_align_celeba/000974.jpg,0,0
47,./celeba/img_align_celeba/000993.jpg,1,0
48,./celeba/img_align_celeba/001006.jpg,1,0
49,./celeba/img_align_celeba/001028.jpg,0,0
50,./celeba/img_align_celeba/001033.jpg,1,0
51,./celeba/img_align_celeba/001083.jpg,0,0
52,./celeba/img_align_celeba/001101.jpg,1,0
53,./celeba/img_align_celeba/001109.jpg,1,0
54,./celeba/img_align_celeba/001127.jpg,1,0
55,./celeba/img_align_celeba/001189.jpg,1,0
56,./celeba/img_align_celeba/001215.jpg,1,0
57,./celeba/img_align_celeba/001237.jpg,1,0
58,./celeba/img_align_celeba/001241.jpg,1,0
59,./celeba/img_align_celeba/001243.jpg,1,0
60,./celeba/img_align_celeba/001258.jpg,1,0
61,./celeba/img_align_celeba/001259.jpg,1,0
62,./celeba/img_align_celeba/001310.jpg,1,0
63,./celeba/img_align_celeba/001338.jpg,1,0
64,./celeba/img_align_celeba/001356.jpg,1,0
65,./celeba/img_align_celeba/001372.jpg,1,0
66,./celeba/img_align_celeba/001393.jpg,1,0
67,./celeba/img_align_celeba/001420.jpg,1,0
