Unnamed: 0,img_filename,y,a
0,./celeba/img_align_celeba/000021.jpg,0,1
1,./celeba/img_align_celeba/000094.jpg,1,1
2,./celeba/img_align_celeba/000127.jpg,0,1
3,./celeba/img_align_celeba/000202.jpg,0,1
4,./celeba/img_align_celeba/000213.jpg,0,1
5,./celeba/img_align_celeba/000221.jpg,0,1
6,./celeba/img_align_celeba/000224.jpg,0,1
7,./celeba/img_align_celeba/000234.jpg,0,1
8,./celeba/img_align_celeba/000252.jpg,1,1
9,./celeba/img_align_celeba/000264.jpg,0,1
10,./celeba/img_align_celeba/000295.jpg,0,1
11,./celeba/img_align_celeba/000310.jpg,0,1
12,./celeba/img_align_celeba/000313.jpg,0,1
13,./celeba/img_align_celeba/000316.jpg,0,1
14,./celeba/img_align_celeba/000330.jpg,0,1
15,./celeba/img_align_celeba/000383.jpg,0,1
16,./celeba/img_align_celeba/000440.jpg,0,1
17,./celeba/img_align_celeba/000444.jpg,0,1
18,./celeba/img_align_celeba/000449.jpg,0,1
19,./celeba/img_align_celeba/000498.jpg,0,1
20,./celeba/img_align_celeba/000500.jpg,0,1
21,./celeba/img_align_celeba/000518.jpg,0,1
22,./celeba/img_align_celeba/000520.jpg,0,1
23,./celeba/img_align_celeba/000562.jpg,1,1
24,./celeba/img_align_celeba/000575.jpg,0,1
25,./celeba/img_align_celeba/000578.jpg,0,1
26,./celeba/img_align_celeba/000596.jpg,0,1
27,./celeba/img_align_celeba/000608.jpg,0,1
28,./celeba/img_align_celeba/000639.jpg,0,1
29,./celeba/img_align_celeba/000677.jpg,0,1
30,./celeba/img_align_celeba/000687.jpg,0,1
31,./celeba/img_align_celeba/000719.jpg,1,1
32,./celeba/img_align_celeba/000720.jpg,0,1
33,./celeba/img_align_celeba/000779.jpg,0,1
34,./celeba/img_align_celeba/000798.jpg,0,1
35,./celeba/img_align_celeba/000817.jpg,1,1
36,./celeba/img_align_celeba/000818.jpg,0,1
37,./celeba/img_align_celeba/000851.jpg,0,1
38,./celeba/img_align_celeba/000853.jpg,0,1
39,./celeba/img_align_celeba/000867.jpg,1,1
40,./celeba/img_align_celeba/000891.jpg,1,1
41,./celeba/img_align_celeba/000899.jpg,1,1
42,./celeba/img_align_celeba/000903.jpg,0,1
43,./celeba/img_align_celeba/000911.jpg,0,1
44,./celeba/img_align_celeba/000915.jpg,0,1
45,./celeba/img_align_celeba/000958.jpg,0,1
46,./celeba/img_align_celeba/000974.jpg,1,1
47,./celeba/img_align_celeba/000993.jpg,0,1
48,./celeba/img_align_celeba/001006.jpg,0,1
49,./celeba/img_align_celeba/001028.jpg,1,1
50,./celeba/img_align_celeba/001033.jpg,0,1
51,./celeba/img_align_celeba/001083.jpg,1,1
52,./celeba/img_align_celeba/001101.jpg,0,1
53,./celeba/img_align_celeba/001109.jpg,0,1
54,./celeba/img_align_celeba/001127.jpg,0,1
55,./celeba/img_align_celeba/001189.jpg,0,1
56,./celeba/img_align_celeba/001215.jpg,0,1
57,./celeba/img_align_celeba/001237.jpg,0,1
58,./celeba/img_align_celeba/001241.jpg,0,1
